selected_school#school_division#nomeAluno
StringField#StringField#StringField
true#true#true
Escola##Dados do aluno
Escola#Unidade#Nome
Colégio Bacana#Super Bacana#(1)Platão de Atenas
Colégio Bacana#Super Bacana#(2)Aristóteles de Estagira
Colégio Bacana#Super Bacana#(3)Immanuel Kant
Colégio Bacana#Super Bacana#(4)Friedrich Nietzsche
Colégio Bacana#Super Bacana#(5)Gustav Mahler
Colégio Bacana#Super Bacana#(6)Dmitri Shostakovich
Colégio Bacana#Super Bacana#(7)Karl Marx
Colégio Bacana#Super Bacana#(8)Arthur Schopenhauer
Colégio Bacana#Super Bacana#(9)Alexandr Scriabin
Colégio Bacana#Super Bacana#(10)Anton Bruckner
Colégio Bacana#Super Bacana#(11)Friedrich Engels
Colégio Bacana#Super Bacana#(12)Vladimir Lenin
Colégio Bacana#Super Bacana#(13)Richard Wagner
Colégio Bacana#Super Bacana#(14)Nelson Mandela
Colégio Bacana#Super Bacana#(15)Bruce Dickinson
Colégio Bacana#Super Bacana#(16)Steve Harris
Colégio Bacana#Super Bacana#(17)Nicko MacBrain
Colégio Bacana#Super Bacana#(18)Adrian Smith
Colégio Bacana#Super Bacana#(19)Janick Gers
Colégio Bacana#Super Bacana#(20)Dave Murray
Colégio Bacana#Super Bacana#(1)Platão de Atenas
Colégio Bacana#Super Bacana#(2)Aristóteles de Estagira
Colégio Bacana#Super Bacana#(3)Immanuel Kant
Colégio Bacana#Super Bacana#(4)Friedrich Nietzsche
Colégio Bacana#Super Bacana#(5)Gustav Mahler
Colégio Bacana#Super Bacana#(6)Dmitri Shostakovich
Colégio Bacana#Super Bacana#(7)Karl Marx
Colégio Bacana#Super Bacana#(8)Arthur Schopenhauer
Colégio Bacana#Super Bacana#(9)Alexandr Scriabin
Colégio Bacana#Super Bacana#(10)Anton Bruckner
Colégio Bacana#Super Bacana#(11)Friedrich Engels
Colégio Bacana#Super Bacana#(12)Vladimir Lenin
Colégio Bacana#Super Bacana#(13)Richard Wagner
Colégio Bacana#Super Bacana#(14)Nelson Mandela
Colégio Bacana#Super Bacana#(15)Bruce Dickinson
Colégio Bacana#Super Bacana#(16)Steve Harris
Colégio Bacana#Super Bacana#(17)Nicko MacBrain
Colégio Bacana#Super Bacana#(18)Adrian Smith
Colégio Bacana#Super Bacana#(19)Janick Gers
Colégio Bacana#Super Bacana#(20)Dave Murray
Colégio Bacana#Super Bacana#(1)Platão de Atenas
Colégio Bacana#Super Bacana#(2)Aristóteles de Estagira
Colégio Bacana#Super Bacana#(3)Immanuel Kant
Colégio Bacana#Super Bacana#(4)Friedrich Nietzsche
Colégio Bacana#Super Bacana#(5)Gustav Mahler
Colégio Bacana#Super Bacana#(6)Dmitri Shostakovich
Colégio Bacana#Super Bacana#(7)Karl Marx
Colégio Bacana#Super Bacana#(8)Arthur Schopenhauer
Colégio Bacana#Super Bacana#(9)Alexandr Scriabin
Colégio Bacana#Super Bacana#(10)Anton Bruckner
Colégio Bacana#Super Bacana#(11)Friedrich Engels
Colégio Bacana#Super Bacana#(12)Vladimir Lenin
Colégio Bacana#Super Bacana#(13)Richard Wagner
Colégio Bacana#Super Bacana#(14)Nelson Mandela
Colégio Bacana#Super Bacana#(15)Bruce Dickinson
Colégio Bacana#Super Bacana#(16)Steve Harris
Colégio Bacana#Super Bacana#(17)Nicko MacBrain
Colégio Bacana#Super Bacana#(18)Adrian Smith
Colégio Bacana#Super Bacana#(19)Janick Gers
Colégio Bacana#Super Bacana#(20)Dave Murray
Colégio Bacana#Super Bacana#(1)Platão de Atenas
Colégio Bacana#Super Bacana#(2)Aristóteles de Estagira
Colégio Bacana#Super Bacana#(3)Immanuel Kant
Colégio Bacana#Super Bacana#(4)Friedrich Nietzsche
Colégio Bacana#Super Bacana#(5)Gustav Mahler
Colégio Bacana#Super Bacana#(6)Dmitri Shostakovich
Colégio Bacana#Super Bacana#(7)Karl Marx
Colégio Bacana#Super Bacana#(8)Arthur Schopenhauer
Colégio Bacana#Super Bacana#(9)Alexandr Scriabin
Colégio Bacana#Super Bacana#(10)Anton Bruckner
Colégio Bacana#Super Bacana#(11)Friedrich Engels
Colégio Bacana#Super Bacana#(12)Vladimir Lenin
Colégio Bacana#Super Bacana#(13)Richard Wagner
Colégio Bacana#Super Bacana#(14)Nelson Mandela
Colégio Bacana#Super Bacana#(15)Bruce Dickinson
Colégio Bacana#Super Bacana#(16)Steve Harris
Colégio Bacana#Super Bacana#(17)Nicko MacBrain
Colégio Bacana#Super Bacana#(18)Adrian Smith
Colégio Bacana#Super Bacana#(19)Janick Gers
Colégio Bacana#Super Bacana#(20)Dave Murray
Colégio Bacana#Super Bacana#(1)Platão de Atenas
Colégio Bacana#Super Bacana#(2)Aristóteles de Estagira
Colégio Bacana#Super Bacana#(3)Immanuel Kant
Colégio Bacana#Super Bacana#(4)Friedrich Nietzsche
Colégio Bacana#Super Bacana#(5)Gustav Mahler
Colégio Bacana#Super Bacana#(6)Dmitri Shostakovich
Colégio Bacana#Super Bacana#(7)Karl Marx
Colégio Bacana#Super Bacana#(8)Arthur Schopenhauer
Colégio Bacana#Super Bacana#(9)Alexandr Scriabin
Colégio Bacana#Super Bacana#(10)Anton Bruckner
Colégio Bacana#Super Bacana#(11)Friedrich Engels
Colégio Bacana#Super Bacana#(12)Vladimir Lenin
Colégio Bacana#Super Bacana#(13)Richard Wagner
Colégio Bacana#Super Bacana#(14)Nelson Mandela
Colégio Bacana#Super Bacana#(15)Bruce Dickinson
Colégio Bacana#Super Bacana#(16)Steve Harris
Colégio Bacana#Super Bacana#(17)Nicko MacBrain
Colégio Bacana#Super Bacana#(18)Adrian Smith
Colégio Bacana#Super Bacana#(19)Janick Gers
Colégio Bacana#Super Bacana#(20)Dave Murray


